ID,UN ID,User Need,NeedConformance,NeedSupport,Requirement ID,Requirement,RequirementType,Conformance,Support,Other Requirements,ReqFlag,ReqFlagValue,OtherReqParameter,OtherRequirementValues,NeedFlag,NeedFlagValue
21,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4,Contents of the Organization Information Request,Request Message,M,Yes,,TMDD_N4R19_Contents_of_the_Organization_Information_Request_Supported,TRUE,TMDD_N4R19_Contents_of_the_Organization_Information_Request_Parameter,,TMDD_N4_Flag,FALSE
22,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4.1,Required Organization Information Request Content,Request Message,M,Yes,,TMDD_N4R20_Required_Organization_Information_Request_Content_Supported,TRUE,TMDD_N4R20_Required_Organization_Information_Request_Content_Parameter,,TMDD_N4_Flag,FALSE
23,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4.2.1,Authentication - Organization Information (AuthOrg),Request Message,O,Yes / No,,TMDD_N4R21_Authentication___Organization_Information__AuthOrg__Supported,FALSE,TMDD_N4R21_Authentication___Organization_Information__AuthOrg__Parameter,,TMDD_N4_Flag,FALSE
24,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4.2.1.1,Operator Identifier - Organization Information,Request Message,AuthOrg:O,Yes / No / NA,,TMDD_N4R22_Operator_Identifier___Organization_Information_Supported,FALSE,TMDD_N4R22_Operator_Identifier___Organization_Information_Parameter,,TMDD_N4_Flag,FALSE
25,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4.2.2,Owner Organization Identifier,Request Message,O,Yes / No,,TMDD_N4R23_Owner_Organization_Identifier_Supported,FALSE,TMDD_N4R23_Owner_Organization_Identifier_Parameter,,TMDD_N4_Flag,FALSE
26,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.4.2.3,Owner Center Identifier,Request Message,O,Yes / No,,TMDD_N4R24_Owner_Center_Identifier_Supported,FALSE,TMDD_N4R24_Owner_Center_Identifier_Parameter,,TMDD_N4_Flag,FALSE
27,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5,Contents of the Organization and Centers Information,Response Message,M,Yes,,TMDD_N4R25_Contents_of_the_Organization_and_Centers_Information_Supported,TRUE,TMDD_N4R25_Contents_of_the_Organization_and_Centers_Information_Parameter,,TMDD_N4_Flag,FALSE
28,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.1,Required Organization Information Content,Response Message,M,Yes,,TMDD_N4R26_Required_Organization_Information_Content_Supported,TRUE,TMDD_N4R26_Required_Organization_Information_Content_Parameter,,TMDD_N4_Flag,FALSE
29,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.1,Organization Name,Response Message,O,Yes / No,,TMDD_N4R27_Organization_Name_Supported,FALSE,TMDD_N4R27_Organization_Name_Parameter,,TMDD_N4_Flag,FALSE
30,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.2,Organization Location,Response Message,O,Yes / No,,TMDD_N4R28_Organization_Location_Supported,FALSE,TMDD_N4R28_Organization_Location_Parameter,,TMDD_N4_Flag,FALSE
31,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.3,Organization Function Description,Response Message,O,Yes / No,,TMDD_N4R29_Organization_Function_Description_Supported,FALSE,TMDD_N4R29_Organization_Function_Description_Parameter,,TMDD_N4_Flag,FALSE
32,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4,Organization Contact Information (ContactInformation),Response Message,O,Yes / No,,TMDD_N4R30_Organization_Contact_Information__ContactInformation__Supported,FALSE,TMDD_N4R30_Organization_Contact_Information__ContactInformation__Parameter,,TMDD_N4_Flag,FALSE
33,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.1,Required Organization Contact Information,Response Message,ContactInformation:M,Yes / NA,,TMDD_N4R31_Required_Organization_Contact_Information_Supported,FALSE,TMDD_N4R31_Required_Organization_Contact_Information_Parameter,,TMDD_N4_Flag,FALSE
34,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.1,Contact Person Name,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R32_Contact_Person_Name_Supported,FALSE,TMDD_N4R32_Contact_Person_Name_Parameter,,TMDD_N4_Flag,FALSE
35,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.2,Contact Person Role,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R33_Contact_Person_Role_Supported,FALSE,TMDD_N4R33_Contact_Person_Role_Parameter,,TMDD_N4_Flag,FALSE
36,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.3,Work Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R34_Work_Phone_Number_Supported,FALSE,TMDD_N4R34_Work_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
37,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.4,Alternate Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R35_Alternate_Phone_Number_Supported,FALSE,TMDD_N4R35_Alternate_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
38,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.5,Cellular Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R36_Cellular_Phone_Number_Supported,FALSE,TMDD_N4R36_Cellular_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
39,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.6,Cellular Phone Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R37_Cellular_Phone_Identifier_Supported,FALSE,TMDD_N4R37_Cellular_Phone_Identifier_Parameter,,TMDD_N4_Flag,FALSE
40,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.7,Fax Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R38_Fax_Number_Supported,FALSE,TMDD_N4R38_Fax_Number_Parameter,,TMDD_N4_Flag,FALSE
41,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.8,Pager Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R39_Pager_Number_Supported,FALSE,TMDD_N4R39_Pager_Number_Parameter,,TMDD_N4_Flag,FALSE
42,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.9,Pager Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R40_Pager_Identifier_Supported,FALSE,TMDD_N4R40_Pager_Identifier_Parameter,,TMDD_N4_Flag,FALSE
43,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.10,Internet E-Mail Address,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R41_Internet_E_Mail_Address_Supported,FALSE,TMDD_N4R41_Internet_E_Mail_Address_Parameter,,TMDD_N4_Flag,FALSE
44,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.11,Radio Unit Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R42_Radio_Unit_Identifier_Supported,FALSE,TMDD_N4R42_Radio_Unit_Identifier_Parameter,,TMDD_N4_Flag,FALSE
45,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.12,Mailing Address Line 1,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R43_Mailing_Address_Line_1_Supported,FALSE,TMDD_N4R43_Mailing_Address_Line_1_Parameter,,TMDD_N4_Flag,FALSE
46,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.13,Mailing Address Line 2,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R44_Mailing_Address_Line_2_Supported,FALSE,TMDD_N4R44_Mailing_Address_Line_2_Parameter,,TMDD_N4_Flag,FALSE
47,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.14,Mailing Address City,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R45_Mailing_Address_City_Supported,FALSE,TMDD_N4R45_Mailing_Address_City_Parameter,,TMDD_N4_Flag,FALSE
48,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.15,Mailing Address State,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R46_Mailing_Address_State_Supported,FALSE,TMDD_N4R46_Mailing_Address_State_Parameter,,TMDD_N4_Flag,FALSE
49,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.16,Mailing Address Zip Code,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R47_Mailing_Address_Zip_Code_Supported,FALSE,TMDD_N4R47_Mailing_Address_Zip_Code_Parameter,,TMDD_N4_Flag,FALSE
50,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.4.2.17,Mailing Address Country,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R48_Mailing_Address_Country_Supported,FALSE,TMDD_N4R48_Mailing_Address_Country_Parameter,,TMDD_N4_Flag,FALSE
51,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5,Organization Center Information (CenterInformation),Response Message,O,Yes / No,,TMDD_N4R49_Organization_Center_Information__CenterInformation__Supported,FALSE,TMDD_N4R49_Organization_Center_Information__CenterInformation__Parameter,,TMDD_N4_Flag,FALSE
52,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.1,Required Organization Center Information,Response Message,CenterInformation:M,Yes / NA,,TMDD_N4R50_Required_Organization_Center_Information_Supported,FALSE,TMDD_N4R50_Required_Organization_Center_Information_Parameter,,TMDD_N4_Flag,FALSE
53,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.2.1,Organization Center Name,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R51_Organization_Center_Name_Supported,FALSE,TMDD_N4R51_Organization_Center_Name_Parameter,,TMDD_N4_Flag,FALSE
54,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.2.2,Organization Center Location,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R52_Organization_Center_Location_Supported,FALSE,TMDD_N4R52_Organization_Center_Location_Parameter,,TMDD_N4_Flag,FALSE
55,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.2.3,Organization Center Description,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R53_Organization_Center_Description_Supported,FALSE,TMDD_N4R53_Organization_Center_Description_Parameter,,TMDD_N4_Flag,FALSE
56,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.2.4,Organization Center Type,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R54_Organization_Center_Type_Supported,FALSE,TMDD_N4R54_Organization_Center_Type_Parameter,,TMDD_N4_Flag,FALSE
57,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.5.2.5,Organization Center Contact Information,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R55_Organization_Center_Contact_Information_Supported,FALSE,TMDD_N4R55_Organization_Center_Contact_Information_Parameter,,TMDD_N4_Flag,FALSE
58,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.2.5.2.6,Date and Time Change Information - Organization Information,Response Message,O,Yes / No,,TMDD_N4R56_Date_and_Time_Change_Information___Organization_Information_Supported,FALSE,TMDD_N4R56_Date_and_Time_Change_Information___Organization_Information_Parameter,,TMDD_N4_Flag,FALSE
59,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.1.4.1,Contents of the Error Report,Error Report Message,M,Yes,,TMDD_N4R13_Contents_of_the_Error_Report_Supported,TRUE,TMDD_N4R13_Contents_of_the_Error_Report_Parameter,,TMDD_N4_Flag,FALSE
60,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.1.4.1.1,Required Error Report Contents,Error Report Message,M,Yes,,TMDD_N4R14_Required_Error_Report_Contents_Supported,TRUE,TMDD_N4R14_Required_Error_Report_Contents_Parameter,,TMDD_N4_Flag,FALSE
61,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes / No,3.3.1.4.1.2.1,Restrictions - Error Report,Error Report Message,O,Yes / No,,TMDD_N4R15_Restrictions___Error_Report_Supported,FALSE,TMDD_N4R15_Restrictions___Error_Report_Parameter,,TMDD_N4_Flag,FALSE
62,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.1,Send Event Index Information Upon Request,Dialogs,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N5R209_Send_Event_Index_Information_Upon_Request_Supported,TRUE,TMDD_N5R209_Send_Event_Index_Information_Upon_Request_Parameter,60000,TMDD_N5_Flag,FALSE
63,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.2,Publish Event Index Information,Dialogs,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 100 ms) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N5R210_Publish_Event_Index_Information_Supported,FALSE,TMDD_N5R210_Publish_Event_Index_Information_Parameter,90000,TMDD_N5_Flag,FALSE
64,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.3,Subscribe to Event Index Information,Dialogs,Subscription:O,Yes / No / NA,,TMDD_N5R211_Subscribe_to_Event_Index_Information_Supported,FALSE,TMDD_N5R211_Subscribe_to_Event_Index_Information_Parameter,60000,TMDD_N5_Flag,FALSE
65,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.4,Contents of Event Index Request,Request Message,M,Yes,,TMDD_N5R212_Contents_of_Event_Index_Request_Supported,TRUE,TMDD_N5R212_Contents_of_Event_Index_Request_Parameter,,TMDD_N5_Flag,FALSE
66,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.4.1,Required Event Index Request Content,Request Message,M,Yes,,TMDD_N5R213_Required_Event_Index_Request_Content_Supported,TRUE,TMDD_N5R213_Required_Event_Index_Request_Content_Parameter,,TMDD_N5_Flag,FALSE
67,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.4.2.1,Authentication - Event Index (AuthEventIndex),Request Message,O,Yes / No,,TMDD_N5R214_Authentication___Event_Index__AuthEventIndex__Supported,FALSE,TMDD_N5R214_Authentication___Event_Index__AuthEventIndex__Parameter,,TMDD_N5_Flag,FALSE
68,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.4.2.1.1,Operator Identifier - Event Index,Request Message,AuthEventIndex:O,Yes / No / NA,,TMDD_N5R215_Operator_Identifier___Event_Index_Supported,FALSE,TMDD_N5R215_Operator_Identifier___Event_Index_Parameter,,TMDD_N5_Flag,FALSE
69,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.9.4.2.2,Requesting Organization - Event Index,Request Message,O,Yes / No,,TMDD_N5R216_Requesting_Organization___Event_Index_Supported,FALSE,TMDD_N5R216_Requesting_Organization___Event_Index_Parameter,,TMDD_N5_Flag,FALSE
70,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.1,Event Unique Identifier Filter,Request Message,O,Yes / No,,TMDD_N5R65_Event_Unique_Identifier_Filter_Supported,FALSE,TMDD_N5R65_Event_Unique_Identifier_Filter_Parameter,,TMDD_N5_Flag,FALSE
71,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.2,Event Response Plan Identifier Filter,Request Message,O,Yes / No,,TMDD_N5R66_Event_Response_Plan_Identifier_Filter_Supported,FALSE,TMDD_N5R66_Event_Response_Plan_Identifier_Filter_Parameter,,TMDD_N5_Flag,FALSE
72,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.3,Event Category Filter,Request Message,O,Yes / No,,TMDD_N5R67_Event_Category_Filter_Supported,FALSE,TMDD_N5R67_Event_Category_Filter_Parameter,,TMDD_N5_Flag,FALSE
73,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.4,Event Priority Filter,Request Message,O,Yes / No,,TMDD_N5R68_Event_Priority_Filter_Supported,FALSE,TMDD_N5R68_Event_Priority_Filter_Parameter,,TMDD_N5_Flag,FALSE
74,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.5,Event Description Confidence Level Filter,Request Message,O,Yes / No,,TMDD_N5R69_Event_Description_Confidence_Level_Filter_Supported,FALSE,TMDD_N5R69_Event_Description_Confidence_Level_Filter_Parameter,,TMDD_N5_Flag,FALSE
75,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.6,Event Access Level Filter,Request Message,O,Yes / No,,TMDD_N5R70_Event_Access_Level_Filter_Supported,FALSE,TMDD_N5R70_Event_Access_Level_Filter_Parameter,,TMDD_N5_Flag,FALSE
76,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.7,Event Action Flag Filter,Request Message,O,Yes / No,,TMDD_N5R71_Event_Action_Flag_Filter_Supported,FALSE,TMDD_N5R71_Event_Action_Flag_Filter_Parameter,,TMDD_N5_Flag,FALSE
77,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.8,Event Severity Filter,Request Message,O,Yes / No,,TMDD_N5R72_Event_Severity_Filter_Supported,FALSE,TMDD_N5R72_Event_Severity_Filter_Parameter,,TMDD_N5_Flag,FALSE
78,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.9,External Center Organization Filter,Request Message,O,Yes / No,,TMDD_N5R73_External_Center_Organization_Filter_Supported,FALSE,TMDD_N5R73_External_Center_Organization_Filter_Parameter,,TMDD_N5_Flag,FALSE
79,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.10,Event Location Filter,Request Message,O,Yes / No,,TMDD_N5R74_Event_Location_Filter_Supported,FALSE,TMDD_N5R74_Event_Location_Filter_Parameter,,TMDD_N5_Flag,FALSE
80,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.11,Request Start Time Filter,Request Message,O,Yes / No,,TMDD_N5R75_Request_Start_Time_Filter_Supported,FALSE,TMDD_N5R75_Request_Start_Time_Filter_Parameter,,TMDD_N5_Flag,FALSE
81,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.12,Request End Time Filter,Request Message,O,Yes / No,,TMDD_N5R76_Request_End_Time_Filter_Supported,FALSE,TMDD_N5R76_Request_End_Time_Filter_Parameter,,TMDD_N5_Flag,FALSE
82,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.13,Hazardous Material Codes Filter,Request Message,O,Yes / No,,TMDD_N5R77_Hazardous_Material_Codes_Filter_Supported,FALSE,TMDD_N5R77_Hazardous_Material_Codes_Filter_Parameter,,TMDD_N5_Flag,FALSE
83,2.3.3.1,Need For An Index of Events,Optional,Yes / No,3.3.3.4.3.14,Hazardous Material Placard Codes Filter,Request Message,O,Yes / No,,TMDD_N5R78_Hazardous_Material_Placard_Codes_Filter_Supported,FALSE,TMDD_N5R78_Hazardous_Material_Placard_Codes_Filter_Parameter,,TMDD_N5_Flag,FALSE
