Name,ScriptFile,DataFile,Description,Type
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-2,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-2.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-3,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-3.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-4,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-4.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-5,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-5.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-6,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-6.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,OC
TCS-1-dlCenterActiveVerificationRequest-EC-InValid-7,TPS-1-dlCenterActiveVerificationRequest-EC.xml,TCS-1-dlCenterActiveVerificationRequest-EC-InValid-7.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,OC
TCS-1-dlCenterActiveVerificationSubscription-OC-Valid,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-Valid.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for a valid response result.,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-1.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-2.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-3.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-4.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-5.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-6.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,EC
TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7,TPS-1-dlCenterActiveVerificationSubscription-OC.xml,TCS-1-dlCenterActiveVerificationSubscription-OC-InValid-7.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,EC
TCS-1-dlCenterActiveVerificationSubscription-EC-Valid,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-Valid.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for a valid response result.,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-1,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-1.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-2,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-2.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-3,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-3.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-4,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-4.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-5,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-5.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-6,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-6.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,OC
TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-7,TPS-1-dlCenterActiveVerificationSubscription-EC.xml,TCS-1-dlCenterActiveVerificationSubscription-EC-InValid-7.data,This test case is used to verify the SUTs support of the dlCenterActiveVerificationSubscription dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.1.1 [Verify Connection Active]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,OC
TCS-2-dlCenterActiveVerificationRequest-EC-Valid,TPS-2-dlCenterActiveVerificationRequest-EC.xml,TCS-2-dlCenterActiveVerificationRequest-EC-Valid.data,This test case is used to verify the SUTs support of the Request-Response dialog pattern (dlCenterActiveVerificationRequest dialog) as an EC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.2 [Need to Support Requests]. This Test Case tests for a Valid response result.,OC
TCS-2-dlCenterActiveVerificationRequest-OC-Valid,TPS-2-dlCenterActiveVerificationRequest-OC.xml,TCS-2-dlCenterActiveVerificationRequest-OC-Valid.data,This test case is used to verify the SUTs support of the Request-Response dialog pattern (dlCenterActiveVerificationRequest dialog) as an OC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.2 [Need to Support Requests]. This Test Case tests for a Valid response result.,EC
TCS-3-PeriodicSubscription-EC-Valid,TPS-3-PeriodicSubscription-EC.xml,TCS-3-PeriodicSubscription-EC-Valid.data,This test case is used to verify the SUTs support of periodic subscriptions (dlCenterActiveVerificationSubscription dialog) as an EC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.3 [Need to Support Subscriptions]. This Test Case tests for a Valid response result.,OC
TCS-3-PeriodicSubscription-OC-Valid,TPS-3-PeriodicSubscription-OC.xml,TCS-3-PeriodicSubscription-OC-Valid.data,This test case is used to verify the SUTs support of periodic subscriptions (dlCenterActiveVerificationSubscription dialog) as an OC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.3 [Need to Support Subscriptions]. This Test Case tests for a Valid response result.,EC
TCS-3-EventDrivenSubscription-EC-Valid,TPS-3-EventDrivenSubscription-EC.xml,TCS-3-EventDrivenSubscription-EC-Valid.data,This test case is used to verify the SUTs support of event driven subscriptions (dlCenterActiveVerificationSubscription dialog) as an EC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.3 [Need to Support Subscriptions]. This Test Case tests for a Valid response result.,OC
TCS-3-EventDrivenSubscription-OC-Valid,TPS-3-EventDrivenSubscription-OC.xml,TCS-3-EventDrivenSubscription-OC-Valid.data,This test case is used to verify the SUTs support of event driven subscriptions (dlCenterActiveVerificationSubscription dialog) as an OC using the variable values specified by the Test Plan.  This test case supports verification of requirements related to user need 2.3.1.3 [Need to Support Subscriptions]. This Test Case tests for a Valid response result.,EC
TCS-4-dlOrganizationInformationRequest-OC-Valid,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-Valid.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for a valid response result.,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-1,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-1.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-2,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-2.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-3,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-3.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-4,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-4.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-5,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-5.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-6,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-6.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-7,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-7.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,EC
TCS-4-dlOrganizationInformationRequest-OC-InValid-8,TPS-4-dlOrganizationInformationRequest-OC.xml,TCS-4-dlOrganizationInformationRequest-OC-InValid-8.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 8 (no valid data available).,EC
TCS-4-dlOrganizationInformationRequest-EC-Valid,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-Valid.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for a valid response result.,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-1,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-1.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-2,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-2.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-3,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-3.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-4,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-4.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-5,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-5.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 5 (out of range values).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-6,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-6.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 6 (permission not granted for request).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-7,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-7.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 7 (authentication not recognized).,OC
TCS-4-dlOrganizationInformationRequest-EC-InValid-8,TPS-4-dlOrganizationInformationRequest-EC.xml,TCS-4-dlOrganizationInformationRequest-EC-InValid-8.data,This test case is used to verify the SUTs support of the dlOrganizationInformationRequest dialog as an EC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 8 (no valid data available).,OC
TCS-4-dlOrganizationInformationSubscription-OC-Valid,TPS-4-dlOrganizationInformationSubscription-OC.xml,TCS-4-dlOrganizationInformationSubscription-OC-Valid.data,This test case is used to verify the SUTs support of the dlOrganizationInformationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for a valid response result.,EC
TCS-4-dlOrganizationInformationSubscription-OC-InValid-1,TPS-4-dlOrganizationInformationSubscription-OC.xml,TCS-4-dlOrganizationInformationSubscription-OC-InValid-1.data,This test case is used to verify the SUTs support of the dlOrganizationInformationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 1 (unknown processing error).,EC
TCS-4-dlOrganizationInformationSubscription-OC-InValid-2,TPS-4-dlOrganizationInformationSubscription-OC.xml,TCS-4-dlOrganizationInformationSubscription-OC-InValid-2.data,This test case is used to verify the SUTs support of the dlOrganizationInformationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 2 (center does not support this type message).,EC
TCS-4-dlOrganizationInformationSubscription-OC-InValid-3,TPS-4-dlOrganizationInformationSubscription-OC.xml,TCS-4-dlOrganizationInformationSubscription-OC-InValid-3.data,This test case is used to verify the SUTs support of the dlOrganizationInformationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 3 (missing information prevents processing message).,EC
TCS-4-dlOrganizationInformationSubscription-OC-InValid-4,TPS-4-dlOrganizationInformationSubscription-OC.xml,TCS-4-dlOrganizationInformationSubscription-OC-InValid-4.data,This test case is used to verify the SUTs support of the dlOrganizationInformationSubscription dialog as an OC using the variable values specified by the Test Plan.    This test case supports verification of requirements related to user need 2.3.2 [Need to Provide Information on Organizations_ Centers_ and Contacts]. This Test Case tests for an invalid response result. An error response message is expected be returned with an error-code set to 4 (message is not well formed or cannot be parsed).,EC
