ID,UN ID,User Need,NeedConformance,NeedSupport,Requirement ID,Requirement,RequirementType,Conformance,Support,Other Requirements,ReqFlag,ReqFlagValue,OtherReqParameter,OtherRequirementValues,NeedFlag,NeedFlagValue
11,2.3.1.1,Verify Connection Active,Mandatory,Yes,3.3.1.4.1.2.1,Restrictions - Error Report,Error Report Message,O,Yes / No,,TMDD_N1R14_Restrictions___Error_Report_Supported,FALSE,TMDD_N1R14_Restrictions___Error_Report_Parameter,,TMDD_N1_Flag,TRUE
12,2.3.1.2,Need to Support Requests,Mandatory,Yes,3.3.1.2,Support Request-Response,Mandatory,M,Yes,,TMDD_N2R9_Support_Request_Response_Supported,TRUE,TMDD_N2R9_Support_Request_Response_Parameter,,TMDD_N2_Flag,TRUE
13,2.3.1.2,Need to Support Requests,Mandatory,Yes,3.4.2,Response Time,Mandatory,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N2R1166_Response_Time_Supported,TRUE,TMDD_N2R1166_Response_Time_Parameter,60000,TMDD_N2_Flag,TRUE
14,2.3.1.3,Need to Support Subscriptions,Optional,Yes/No,3.3.1.3.1,Support Periodic Updates (Subscription),Optional,O.1(1..*),Yes / No,The owner center shall support periodic updates from once per ____ (default = 300 seconds) to once per ____ (default = 31536000 seconds).,TMDD_N3R10_Support_Periodic_Updates__Subscription__Supported,FALSE,TMDD_N3R10_Support_Periodic_Updates__Subscription__Parameter,300:31536000,TMDD_N3_Flag,FALSE
15,2.3.1.3,Need to Support Subscriptions,Optional,Yes/No,3.3.1.3.2,Support Event-Driven Updates (Subscription),Optional,O.1(1..*),Yes / No,,TMDD_N3R11_Support_Event_Driven_Updates__Subscription__Supported,FALSE,TMDD_N3R11_Support_Event_Driven_Updates__Subscription__Parameter,,TMDD_N3_Flag,FALSE
16,2.3.1.3,Need to Support Subscriptions,Optional,Yes/No,3.4.1,Message Transmission Time - Publication Updates,Optional,Subscription:M,Yes / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 1 minute) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N3R1165_Message_Transmission_Time___Publication_Updates_Supported,FALSE,TMDD_N3R1165_Message_Transmission_Time___Publication_Updates_Parameter,900000,TMDD_N3_Flag,FALSE
17,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.1,Send Organization Information Upon Request,Dialogs,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N4R15_Send_Organization_Information_Upon_Request_Supported,TRUE,TMDD_N4R15_Send_Organization_Information_Upon_Request_Parameter,60000,TMDD_N4_Flag,FALSE
18,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.2,Publish Organization Information,Dialogs,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 15 minutes) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N4R16_Publish_Organization_Information_Supported,FALSE,TMDD_N4R16_Publish_Organization_Information_Parameter,900000,TMDD_N4_Flag,FALSE
19,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.3,Subscribe to Organization Information,Dialogs,Subscription:O,Yes / No / NA,,TMDD_N4R17_Subscribe_to_Organization_Information_Supported,FALSE,TMDD_N4R17_Subscribe_to_Organization_Information_Parameter,60000,TMDD_N4_Flag,FALSE
20,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4,Contents of the Organization Information Request,Request Message,M,Yes,,TMDD_N4R18_Contents_of_the_Organization_Information_Request_Supported,TRUE,TMDD_N4R18_Contents_of_the_Organization_Information_Request_Parameter,,TMDD_N4_Flag,FALSE
21,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4.1,Required Organization Information Request Content,Request Message,M,Yes,,TMDD_N4R19_Required_Organization_Information_Request_Content_Supported,TRUE,TMDD_N4R19_Required_Organization_Information_Request_Content_Parameter,,TMDD_N4_Flag,FALSE
22,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4.2.1,Authentication - Organization Information (AuthOrg),Request Message,O,Yes / No,,TMDD_N4R20_Authentication___Organization_Information__AuthOrg__Supported,FALSE,TMDD_N4R20_Authentication___Organization_Information__AuthOrg__Parameter,,TMDD_N4_Flag,FALSE
23,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4.2.1.1,Operator Identifier - Organization Information,Request Message,AuthOrg:O,Yes / No / NA,,TMDD_N4R21_Operator_Identifier___Organization_Information_Supported,FALSE,TMDD_N4R21_Operator_Identifier___Organization_Information_Parameter,,TMDD_N4_Flag,FALSE
24,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4.2.2,Owner Organization Identifier,Request Message,O,Yes / No,,TMDD_N4R22_Owner_Organization_Identifier_Supported,FALSE,TMDD_N4R22_Owner_Organization_Identifier_Parameter,,TMDD_N4_Flag,FALSE
25,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.4.2.3,Owner Center Identifier,Request Message,O,Yes / No,,TMDD_N4R23_Owner_Center_Identifier_Supported,FALSE,TMDD_N4R23_Owner_Center_Identifier_Parameter,,TMDD_N4_Flag,FALSE
26,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5,Contents of the Organization and Centers Information,Response Message,M,Yes,,TMDD_N4R24_Contents_of_the_Organization_and_Centers_Information_Supported,TRUE,TMDD_N4R24_Contents_of_the_Organization_and_Centers_Information_Parameter,,TMDD_N4_Flag,FALSE
27,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.1,Required Organization Information Content,Response Message,M,Yes,,TMDD_N4R25_Required_Organization_Information_Content_Supported,TRUE,TMDD_N4R25_Required_Organization_Information_Content_Parameter,,TMDD_N4_Flag,FALSE
28,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.1,Organization Name,Response Message,O,Yes / No,,TMDD_N4R26_Organization_Name_Supported,FALSE,TMDD_N4R26_Organization_Name_Parameter,,TMDD_N4_Flag,FALSE
29,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.2,Organization Location,Response Message,O,Yes / No,,TMDD_N4R27_Organization_Location_Supported,FALSE,TMDD_N4R27_Organization_Location_Parameter,,TMDD_N4_Flag,FALSE
30,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.3,Organization Function Description,Response Message,O,Yes / No,,TMDD_N4R28_Organization_Function_Description_Supported,FALSE,TMDD_N4R28_Organization_Function_Description_Parameter,,TMDD_N4_Flag,FALSE
31,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4,Organization Contact Information (ContactInformation),Response Message,O,Yes / No,,TMDD_N4R29_Organization_Contact_Information__ContactInformation__Supported,FALSE,TMDD_N4R29_Organization_Contact_Information__ContactInformation__Parameter,,TMDD_N4_Flag,FALSE
32,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.1,Required Organization Contact Information,Response Message,ContactInformation:M,Yes / NA,,TMDD_N4R30_Required_Organization_Contact_Information_Supported,FALSE,TMDD_N4R30_Required_Organization_Contact_Information_Parameter,,TMDD_N4_Flag,FALSE
33,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.1,Contact Person Name,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R31_Contact_Person_Name_Supported,FALSE,TMDD_N4R31_Contact_Person_Name_Parameter,,TMDD_N4_Flag,FALSE
34,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.2,Contact Person Role,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R32_Contact_Person_Role_Supported,FALSE,TMDD_N4R32_Contact_Person_Role_Parameter,,TMDD_N4_Flag,FALSE
35,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.3,Work Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R33_Work_Phone_Number_Supported,FALSE,TMDD_N4R33_Work_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
36,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.4,Alternate Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R34_Alternate_Phone_Number_Supported,FALSE,TMDD_N4R34_Alternate_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
37,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.5,Cellular Phone Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R35_Cellular_Phone_Number_Supported,FALSE,TMDD_N4R35_Cellular_Phone_Number_Parameter,,TMDD_N4_Flag,FALSE
38,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.6,Cellular Phone Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R36_Cellular_Phone_Identifier_Supported,FALSE,TMDD_N4R36_Cellular_Phone_Identifier_Parameter,,TMDD_N4_Flag,FALSE
39,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.7,Fax Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R37_Fax_Number_Supported,FALSE,TMDD_N4R37_Fax_Number_Parameter,,TMDD_N4_Flag,FALSE
40,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.8,Pager Number,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R38_Pager_Number_Supported,FALSE,TMDD_N4R38_Pager_Number_Parameter,,TMDD_N4_Flag,FALSE
41,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.9,Pager Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R39_Pager_Identifier_Supported,FALSE,TMDD_N4R39_Pager_Identifier_Parameter,,TMDD_N4_Flag,FALSE
42,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.10,Internet E-Mail Address,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R40_Internet_E_Mail_Address_Supported,FALSE,TMDD_N4R40_Internet_E_Mail_Address_Parameter,,TMDD_N4_Flag,FALSE
43,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.11,Radio Unit Identifier,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R41_Radio_Unit_Identifier_Supported,FALSE,TMDD_N4R41_Radio_Unit_Identifier_Parameter,,TMDD_N4_Flag,FALSE
44,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.12,Mailing Address Line 1,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R42_Mailing_Address_Line_1_Supported,FALSE,TMDD_N4R42_Mailing_Address_Line_1_Parameter,,TMDD_N4_Flag,FALSE
45,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.13,Mailing Address Line 2,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R43_Mailing_Address_Line_2_Supported,FALSE,TMDD_N4R43_Mailing_Address_Line_2_Parameter,,TMDD_N4_Flag,FALSE
46,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.14,Mailing Address City,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R44_Mailing_Address_City_Supported,FALSE,TMDD_N4R44_Mailing_Address_City_Parameter,,TMDD_N4_Flag,FALSE
47,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.15,Mailing Address State,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R45_Mailing_Address_State_Supported,FALSE,TMDD_N4R45_Mailing_Address_State_Parameter,,TMDD_N4_Flag,FALSE
48,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.16,Mailing Address Zip Code,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R46_Mailing_Address_Zip_Code_Supported,FALSE,TMDD_N4R46_Mailing_Address_Zip_Code_Parameter,,TMDD_N4_Flag,FALSE
49,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.4.2.17,Mailing Address Country,Response Message,ContactInformation:O,Yes / No / NA,,TMDD_N4R47_Mailing_Address_Country_Supported,FALSE,TMDD_N4R47_Mailing_Address_Country_Parameter,,TMDD_N4_Flag,FALSE
50,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5,Organization Center Information (CenterInformation),Response Message,O,Yes / No,,TMDD_N4R48_Organization_Center_Information__CenterInformation__Supported,FALSE,TMDD_N4R48_Organization_Center_Information__CenterInformation__Parameter,,TMDD_N4_Flag,FALSE
51,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.1,Required Organization Center Information,Response Message,CenterInformation:M,Yes / NA,,TMDD_N4R49_Required_Organization_Center_Information_Supported,FALSE,TMDD_N4R49_Required_Organization_Center_Information_Parameter,,TMDD_N4_Flag,FALSE
52,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.2.1,Organization Center Name,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R50_Organization_Center_Name_Supported,FALSE,TMDD_N4R50_Organization_Center_Name_Parameter,,TMDD_N4_Flag,FALSE
53,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.2.2,Organization Center Location,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R51_Organization_Center_Location_Supported,FALSE,TMDD_N4R51_Organization_Center_Location_Parameter,,TMDD_N4_Flag,FALSE
54,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.2.3,Organization Center Description,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R52_Organization_Center_Description_Supported,FALSE,TMDD_N4R52_Organization_Center_Description_Parameter,,TMDD_N4_Flag,FALSE
55,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.2.4,Organization Center Type,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R53_Organization_Center_Type_Supported,FALSE,TMDD_N4R53_Organization_Center_Type_Parameter,,TMDD_N4_Flag,FALSE
56,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.5.2.5,Organization Center Contact Information,Response Message,CenterInformation:O,Yes / No / NA,,TMDD_N4R54_Organization_Center_Contact_Information_Supported,FALSE,TMDD_N4R54_Organization_Center_Contact_Information_Parameter,,TMDD_N4_Flag,FALSE
57,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.2.5.2.6,Date and Time Change Information - Organization Information,Response Message,O,Yes / No,,TMDD_N4R55_Date_and_Time_Change_Information___Organization_Information_Supported,FALSE,TMDD_N4R55_Date_and_Time_Change_Information___Organization_Information_Parameter,,TMDD_N4_Flag,FALSE
58,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.1.4.1,Contents of the Error Report,Error Report Message,M,Yes,,TMDD_N4R12_Contents_of_the_Error_Report_Supported,TRUE,TMDD_N4R12_Contents_of_the_Error_Report_Parameter,,TMDD_N4_Flag,FALSE
59,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.1.4.1.1,Required Error Report Contents,Error Report Message,M,Yes,,TMDD_N4R13_Required_Error_Report_Contents_Supported,TRUE,TMDD_N4R13_Required_Error_Report_Contents_Parameter,,TMDD_N4_Flag,FALSE
60,2.3.2,Need to Provide Information on Organizations_ Centers_ and Contacts,Optional,Yes/No,3.3.1.4.1.2.1,Restrictions - Error Report,Error Report Message,O,Yes / No,,TMDD_N4R14_Restrictions___Error_Report_Supported,FALSE,TMDD_N4R14_Restrictions___Error_Report_Parameter,,TMDD_N4_Flag,FALSE
61,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.1,Send Event Index Information Upon Request,Dialogs,M,Yes,The owner center shall respond within ___ (100 ms - 1 hour; Default = 1 minute) after receiving the request. See Section 3.4.2.,TMDD_N5R207_Send_Event_Index_Information_Upon_Request_Supported,TRUE,TMDD_N5R207_Send_Event_Index_Information_Upon_Request_Parameter,60000,TMDD_N5_Flag,FALSE
62,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.2,Publish Event Index Information,Dialogs,Subscription:O,Yes / No / NA,The owner center shall begin sending the updated response message within ___ (100 ms - 24 hours; Default = 100 ms) after the information is updated in the owner center. See Section 3.4.1.,TMDD_N5R208_Publish_Event_Index_Information_Supported,FALSE,TMDD_N5R208_Publish_Event_Index_Information_Parameter,900000,TMDD_N5_Flag,FALSE
63,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.3,Subscribe to Event Index Information,Dialogs,Subscription:O,Yes / No / NA,,TMDD_N5R209_Subscribe_to_Event_Index_Information_Supported,FALSE,TMDD_N5R209_Subscribe_to_Event_Index_Information_Parameter,60000,TMDD_N5_Flag,FALSE
64,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.4,Contents of Event Index Request,Request Message,M,Yes,,TMDD_N5R210_Contents_of_Event_Index_Request_Supported,TRUE,TMDD_N5R210_Contents_of_Event_Index_Request_Parameter,,TMDD_N5_Flag,FALSE
65,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.4.1,Required Event Index Request Content,Request Message,M,Yes,,TMDD_N5R211_Required_Event_Index_Request_Content_Supported,TRUE,TMDD_N5R211_Required_Event_Index_Request_Content_Parameter,,TMDD_N5_Flag,FALSE
66,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.4.2.1,Authentication - Event Index (AuthEventIndex),Request Message,O,Yes / No,,TMDD_N5R212_Authentication___Event_Index__AuthEventIndex__Supported,FALSE,TMDD_N5R212_Authentication___Event_Index__AuthEventIndex__Parameter,,TMDD_N5_Flag,FALSE
67,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.4.2.1.1,Operator Identifier - Event Index,Request Message,AuthEventIndex:O,Yes / No / NA,,TMDD_N5R213_Operator_Identifier___Event_Index_Supported,FALSE,TMDD_N5R213_Operator_Identifier___Event_Index_Parameter,,TMDD_N5_Flag,FALSE
68,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.9.4.2.2,Requesting Organization - Event Index,Request Message,O,Yes / No,,TMDD_N5R214_Requesting_Organization___Event_Index_Supported,FALSE,TMDD_N5R214_Requesting_Organization___Event_Index_Parameter,,TMDD_N5_Flag,FALSE
69,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.1,Event Unique Identifier Filter,Request Message,O,Yes / No,,TMDD_N5R64_Event_Unique_Identifier_Filter_Supported,FALSE,TMDD_N5R64_Event_Unique_Identifier_Filter_Parameter,,TMDD_N5_Flag,FALSE
70,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.2,Event Response Plan Identifier Filter,Request Message,O,Yes / No,,TMDD_N5R65_Event_Response_Plan_Identifier_Filter_Supported,FALSE,TMDD_N5R65_Event_Response_Plan_Identifier_Filter_Parameter,,TMDD_N5_Flag,FALSE
71,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.3,Event Category Filter,Request Message,O,Yes / No,,TMDD_N5R66_Event_Category_Filter_Supported,FALSE,TMDD_N5R66_Event_Category_Filter_Parameter,,TMDD_N5_Flag,FALSE
72,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.4,Event Priority Filter,Request Message,O,Yes / No,,TMDD_N5R67_Event_Priority_Filter_Supported,FALSE,TMDD_N5R67_Event_Priority_Filter_Parameter,,TMDD_N5_Flag,FALSE
73,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.5,Event Description Confidence Level Filter,Request Message,O,Yes / No,,TMDD_N5R68_Event_Description_Confidence_Level_Filter_Supported,FALSE,TMDD_N5R68_Event_Description_Confidence_Level_Filter_Parameter,,TMDD_N5_Flag,FALSE
74,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.6,Event Access Level Filter,Request Message,O,Yes / No,,TMDD_N5R69_Event_Access_Level_Filter_Supported,FALSE,TMDD_N5R69_Event_Access_Level_Filter_Parameter,,TMDD_N5_Flag,FALSE
75,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.7,Event Action Flag Filter,Request Message,O,Yes / No,,TMDD_N5R70_Event_Action_Flag_Filter_Supported,FALSE,TMDD_N5R70_Event_Action_Flag_Filter_Parameter,,TMDD_N5_Flag,FALSE
76,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.8,Event Severity Filter,Request Message,O,Yes / No,,TMDD_N5R71_Event_Severity_Filter_Supported,FALSE,TMDD_N5R71_Event_Severity_Filter_Parameter,,TMDD_N5_Flag,FALSE
77,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.9,External Center Organization Filter,Request Message,O,Yes / No,,TMDD_N5R72_External_Center_Organization_Filter_Supported,FALSE,TMDD_N5R72_External_Center_Organization_Filter_Parameter,,TMDD_N5_Flag,FALSE
78,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.10,Event Location Filter,Request Message,O,Yes / No,,TMDD_N5R73_Event_Location_Filter_Supported,FALSE,TMDD_N5R73_Event_Location_Filter_Parameter,,TMDD_N5_Flag,FALSE
79,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.11,Request Start Time Filter,Request Message,O,Yes / No,,TMDD_N5R74_Request_Start_Time_Filter_Supported,FALSE,TMDD_N5R74_Request_Start_Time_Filter_Parameter,,TMDD_N5_Flag,FALSE
80,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.12,Request End Time Filter,Request Message,O,Yes / No,,TMDD_N5R75_Request_End_Time_Filter_Supported,FALSE,TMDD_N5R75_Request_End_Time_Filter_Parameter,,TMDD_N5_Flag,FALSE
81,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.13,Hazardous Material Codes Filter,Request Message,O,Yes / No,,TMDD_N5R76_Hazardous_Material_Codes_Filter_Supported,FALSE,TMDD_N5R76_Hazardous_Material_Codes_Filter_Parameter,,TMDD_N5_Flag,FALSE
82,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.14,Hazardous Material Placard Codes Filter,Request Message,O,Yes / No,,TMDD_N5R77_Hazardous_Material_Placard_Codes_Filter_Supported,FALSE,TMDD_N5R77_Hazardous_Material_Placard_Codes_Filter_Parameter,,TMDD_N5_Flag,FALSE
83,2.3.3.1,Need For An Index of Events,Optional,Yes/No,3.3.3.4.3.15,Event Headline Filter,Request Message,O,Yes / No,,TMDD_N5R78_Event_Headline_Filter_Supported,FALSE,TMDD_N5R78_Event_Headline_Filter_Parameter,,TMDD_N5_Flag,FALSE
