ID,NeedID,RequirementID,TCID,ItemType,Precondition
29,RINEED10,SRS42,TCS-PreConditionTagTest-RIAsEC,RI,
30,RINEED11,SRS42,TCS-PreConditionTagTest-RIAsEC,RI,
31,RINEED31,SRS42,TCS-PreConditionTagTest-RIAsEC,RI,
32,RINEED31.1,SRS42,TCS-PreConditionTagTest-RIAsEC,RI,
33,RINEED10,SRS43,TCS-PreConditionTagTest-RIAsEC,RI,
34,RINEED11,SRS43,TCS-PreConditionTagTest-RIAsEC,RI,
35,RINEED31,SRS43,TCS-PreConditionTagTest-RIAsEC,RI,
36,RINEED31.1,SRS43,TCS-PreConditionTagTest-RIAsEC,RI,
37,RINEED10,SRS44,TCS-PreConditionTagTest-RIAsEC,RI,
38,RINEED11,SRS44,TCS-PreConditionTagTest-RIAsEC,RI,
39,RINEED31,SRS44,TCS-PreConditionTagTest-RIAsEC,RI,
40,RINEED31.1,SRS44,TCS-PreConditionTagTest-RIAsEC,RI,
41,RINEED10,SRS45,TCS-PreConditionTagTest-RIAsEC,RI,
42,RINEED11,SRS45,TCS-PreConditionTagTest-RIAsEC,RI,
43,RINEED31,SRS45,TCS-PreConditionTagTest-RIAsEC,RI,
44,RINEED31.1,SRS45,TCS-PreConditionTagTest-RIAsEC,RI,
45,RINEED10,SRS46.1,TCS-PostConditionTagTest-RIAsEC,RI,
46,RINEED11,SRS46.1,TCS-PostConditionTagTest-RIAsEC,RI,
47,RINEED31,SRS46.1,TCS-PostConditionTagTest-RIAsEC,RI,
48,RINEED31.1,SRS46.1,TCS-PostConditionTagTest-RIAsEC,RI,
49,RINEED10,SRS46.2,TCS-PostConditionTagTest-RIAsEC,RI,
50,RINEED11,SRS46.2,TCS-PostConditionTagTest-RIAsEC,RI,
51,RINEED31,SRS46.2,TCS-PostConditionTagTest-RIAsEC,RI,
52,RINEED31.1,SRS46.2,TCS-PostConditionTagTest-RIAsEC,RI,
53,RINEED10,SRS47,TCS-PostConditionTagTest-RIAsEC,RI,
54,RINEED11,SRS47,TCS-PostConditionTagTest-RIAsEC,RI,
55,RINEED31,SRS47,TCS-PostConditionTagTest-RIAsEC,RI,
56,RINEED31.1,SRS47,TCS-PostConditionTagTest-RIAsEC,RI,
57,RINEED10,SRS47,TCS-PostConditionTagTest-RIAsOC,RI,
58,RINEED11,SRS47,TCS-PostConditionTagTest-RIAsOC,RI,
59,RINEED31,SRS47,TCS-PostConditionTagTest-RIAsOC,RI,
60,RINEED31.1,SRS47,TCS-PostConditionTagTest-RIAsOC,RI,
61,RINEED10,SRS88.1,TCS-PostConditionTagTest-RIAsEC,RI,
62,RINEED11,SRS88.1,TCS-PostConditionTagTest-RIAsEC,RI,
63,RINEED31,SRS88.1,TCS-PostConditionTagTest-RIAsEC,RI,
64,RINEED31.1,SRS88.1,TCS-PostConditionTagTest-RIAsEC,RI,
65,RINEED10,SRS88.2,TCS-PostConditionTagTest-RIAsEC,RI,
66,RINEED11,SRS88.2,TCS-PostConditionTagTest-RIAsEC,RI,
67,RINEED31,SRS88.2,TCS-PostConditionTagTest-RIAsEC,RI,
68,RINEED31.1,SRS88.2,TCS-PostConditionTagTest-RIAsEC,RI,
69,RINEED10,SRS89,TCS-PostConditionTagTest-RIAsEC,RI,
70,RINEED11,SRS89,TCS-PostConditionTagTest-RIAsEC,RI,
71,RINEED31,SRS89,TCS-PostConditionTagTest-RIAsEC,RI,
72,RINEED31.1,SRS89,TCS-PostConditionTagTest-RIAsEC,RI,
73,RINEED10,SRS42,TCS-PreConditionTagTest-RIAsOC,RI,
74,RINEED11,SRS42,TCS-PreConditionTagTest-RIAsOC,RI,
75,RINEED31,SRS42,TCS-PreConditionTagTest-RIAsOC,RI,
76,RINEED31.1,SRS42,TCS-PreConditionTagTest-RIAsOC,RI,
77,RINEED10,SRS43,TCS-PreConditionTagTest-RIAsOC,RI,
78,RINEED11,SRS43,TCS-PreConditionTagTest-RIAsOC,RI,
79,RINEED31,SRS43,TCS-PreConditionTagTest-RIAsOC,RI,
80,RINEED31.1,SRS43,TCS-PreConditionTagTest-RIAsOC,RI,
81,RINEED10,SRS44,TCS-PreConditionTagTest-RIAsOC,RI,
82,RINEED11,SRS44,TCS-PreConditionTagTest-RIAsOC,RI,
83,RINEED31,SRS44,TCS-PreConditionTagTest-RIAsOC,RI,
84,RINEED31.1,SRS44,TCS-PreConditionTagTest-RIAsOC,RI,
85,RINEED10,SRS45,TCS-PreConditionTagTest-RIAsOC,RI,
86,RINEED11,SRS45,TCS-PreConditionTagTest-RIAsOC,RI,
87,RINEED31,SRS45,TCS-PreConditionTagTest-RIAsOC,RI,
88,RINEED31.1,SRS45,TCS-PreConditionTagTest-RIAsOC,RI,
89,RINEED10,SRS46.1,TCS-PostConditionTagTest-RIAsOC,RI,
90,RINEED11,SRS46.1,TCS-PostConditionTagTest-RIAsOC,RI,
91,RINEED31,SRS46.1,TCS-PostConditionTagTest-RIAsOC,RI,
92,RINEED31.1,SRS46.1,TCS-PostConditionTagTest-RIAsOC,RI,
93,RINEED10,SRS46.2,TCS-PostConditionTagTest-RIAsOC,RI,
94,RINEED11,SRS46.2,TCS-PostConditionTagTest-RIAsOC,RI,
95,RINEED31,SRS46.2,TCS-PostConditionTagTest-RIAsOC,RI,
96,RINEED31.1,SRS46.2,TCS-PostConditionTagTest-RIAsOC,RI,
97,RINEED10,SRS88.1,TCS-PostConditionTagTest-RIAsOC,RI,
98,RINEED11,SRS88.1,TCS-PostConditionTagTest-RIAsOC,RI,
99,RINEED31,SRS88.1,TCS-PostConditionTagTest-RIAsOC,RI,
100,RINEED31.1,SRS88.1,TCS-PostConditionTagTest-RIAsOC,RI,
101,RINEED10,SRS88.2,TCS-PostConditionTagTest-RIAsOC,RI,
102,RINEED11,SRS88.2,TCS-PostConditionTagTest-RIAsOC,RI,
103,RINEED31,SRS88.2,TCS-PostConditionTagTest-RIAsOC,RI,
104,RINEED31.1,SRS88.2,TCS-PostConditionTagTest-RIAsOC,RI,
105,RINEED10,SRS89,TCS-PostConditionTagTest-RIAsOC,RI,
106,RINEED11,SRS89,TCS-PostConditionTagTest-RIAsOC,RI,
107,RINEED31,SRS89,TCS-PostConditionTagTest-RIAsOC,RI,
108,RINEED31.1,SRS89,TCS-PostConditionTagTest-RIAsOC,RI,
